row_id;odżywianie;spanie;stres;relacje;praca;nadwaga
0;mało;dużo;mało;dużo;średnio;chudy
1;mało;średnio;mało;mało;mało;chudy
2;średnio;średnio;mało;średnio;średnio;chudy
3;mało;średnio;mało;średnio;dużo;chudy
4;mało;mało;średnio;mało;mało;chudy
5;mało;dużo;mało;mało;mało;chudy
6;mało;mało;średnio;średnio;dużo;chudy
7;średnio;dużo;średnio;dużo;mało;chudy
8;mało;mało;dużo;mało;dużo;przeciętny
9;średnio;mało;dużo;mało;średnio;przeciętny
10;dużo;dużo;dużo;mało;średnio;gruby
11;średnio;mało;średnio;mało;średnio;przeciętny
12;mało;dużo;mało;dużo;mało;chudy
13;dużo;mało;średnio;średnio;mało;przeciętny
14;mało;średnio;średnio;mało;mało;chudy
15;dużo;mało;średnio;dużo;mało;przeciętny
16;średnio;średnio;średnio;mało;średnio;przeciętny
17;dużo;mało;dużo;dużo;dużo;gruby
18;średnio;mało;mało;mało;mało;chudy
19;średnio;dużo;mało;dużo;średnio;chudy
20;dużo;dużo;dużo;dużo;dużo;przeciętny
21;średnio;średnio;mało;dużo;średnio;przeciętny
22;średnio;dużo;mało;dużo;mało;chudy
23;średnio;średnio;dużo;średnio;dużo;przeciętny
24;średnio;mało;średnio;dużo;dużo;przeciętny
25;średnio;mało;średnio;dużo;średnio;przeciętny
26;mało;dużo;mało;średnio;mało;chudy
27;dużo;średnio;mało;średnio;średnio;przeciętny
28;dużo;mało;mało;średnio;dużo;przeciętny
29;średnio;mało;dużo;mało;dużo;przeciętny
30;średnio;dużo;mało;średnio;mało;chudy
31;dużo;dużo;mało;dużo;mało;chudy
32;mało;średnio;mało;dużo;dużo;chudy
33;mało;dużo;mało;dużo;dużo;chudy
34;średnio;mało;dużo;średnio;średnio;przeciętny
35;średnio;dużo;mało;średnio;dużo;przeciętny
36;dużo;mało;dużo;średnio;dużo;gruby
37;dużo;średnio;mało;dużo;dużo;przeciętny
38;mało;średnio;mało;dużo;średnio;chudy
39;mało;dużo;mało;średnio;średnio;chudy
40;dużo;mało;dużo;dużo;średnio;przeciętny
41;średnio;średnio;średnio;średnio;mało;przeciętny
42;średnio;dużo;średnio;dużo;średnio;przeciętny
43;dużo;mało;dużo;mało;dużo;gruby
44;dużo;mało;średnio;średnio;średnio;przeciętny
45;średnio;dużo;dużo;średnio;dużo;przeciętny
